/Graph
Time (s),posX (Meters),posY (Meters),posZ (Meters)
6.65000,-8.3492e-01,-5.3477e-01,+1.9224e-02
6.70000,-8.3514e-01,-5.3440e-01,+1.9226e-02
6.75000,-8.3537e-01,-5.3396e-01,+1.9219e-02
6.80000,-8.3561e-01,-5.3354e-01,+1.9225e-02
6.85000,-8.3591e-01,-5.3315e-01,+1.9237e-02
6.90000,-8.3621e-01,-5.3278e-01,+1.9208e-02
6.95000,-8.3648e-01,-5.3241e-01,+1.9210e-02
7.00000,-8.3673e-01,-5.3201e-01,+1.9203e-02
7.05000,-8.3700e-01,-5.3158e-01,+1.9216e-02
7.10000,-8.3725e-01,-5.3116e-01,+1.9212e-02
7.15000,-8.3747e-01,-5.3078e-01,+1.9221e-02
7.20000,-8.3773e-01,-5.3038e-01,+1.9227e-02
7.25000,-8.3799e-01,-5.2994e-01,+1.9223e-02
7.30000,-8.3822e-01,-5.2951e-01,+1.9227e-02
7.35000,-8.3844e-01,-5.2913e-01,+1.9213e-02
7.40000,-8.3869e-01,-5.2875e-01,+1.9221e-02
7.45000,-8.3900e-01,-5.2829e-01,+1.9223e-02
7.50000,-8.3927e-01,-5.2791e-01,+1.9218e-02
7.55000,-8.3951e-01,-5.2755e-01,+1.9211e-02
7.60000,-8.3980e-01,-5.2711e-01,+1.9216e-02
7.65000,-8.4008e-01,-5.2669e-01,+1.9214e-02
7.70000,-8.4032e-01,-5.2632e-01,+1.9215e-02
7.75000,-8.4054e-01,-5.2598e-01,+1.9224e-02
7.80000,-8.4080e-01,-5.2560e-01,+1.9218e-02
7.85000,-8.4105e-01,-5.2519e-01,+1.9223e-02
7.90000,-8.4125e-01,-5.2481e-01,+1.9220e-02
7.95000,-8.4142e-01,-5.2447e-01,+1.9219e-02
8.00000,-8.4163e-01,-5.2406e-01,+1.9215e-02
8.05000,-8.4185e-01,-5.2363e-01,+1.9222e-02
8.10000,-8.4206e-01,-5.2323e-01,+1.9217e-02
8.15000,-8.4226e-01,-5.2282e-01,+1.9223e-02
8.20000,-8.4247e-01,-5.2243e-01,+1.9218e-02
8.25000,-8.4264e-01,-5.2208e-01,+1.9219e-02
8.30000,-8.4283e-01,-5.2170e-01,+1.9210e-02
8.35000,-8.4305e-01,-5.2125e-01,+1.9219e-02
8.40000,-8.4326e-01,-5.2088e-01,+1.9214e-02
8.45000,-8.4345e-01,-5.2053e-01,+1.9219e-02
8.50000,-8.4366e-01,-5.2012e-01,+1.9209e-02
8.55000,-8.4389e-01,-5.1969e-01,+1.9216e-02
8.60000,-8.4407e-01,-5.1933e-01,+1.9221e-02
8.65000,-8.4425e-01,-5.1895e-01,+1.9211e-02
8.70000,-8.4451e-01,-5.1853e-01,+1.9218e-02
8.75000,-8.4474e-01,-5.1811e-01,+1.9223e-02
8.80000,-8.4493e-01,-5.1770e-01,+1.9224e-02
8.85000,-8.4514e-01,-5.1729e-01,+1.9221e-02
8.90000,-8.4536e-01,-5.1691e-01,+1.9226e-02
