bc/neglogp,bc/l2_norm,bc/samples_so_far,bc/l2_loss,bc/loss,bc/batch_num,bc/entropy,bc/prob_true_act,bc/epoch_num,bc/ent_loss
-3.86234974861145,364.50799560546875,20610944,0.0,-3.8585376739501953,7001,-3.8121633529663086,117.58380126953125,7000,0.0038121636025607586
-3.974074363708496,377.6824645996094,22082944,0.0,-3.9701714515686035,7501,-3.902958631515503,128.98861694335938,7500,0.003902958706021309
-4.084778308868408,389.4103698730469,23554944,0.0,-4.080714702606201,8001,-4.063816547393799,151.51608276367188,8000,0.004063816741108894
-4.178849220275879,399.0487365722656,25026944,0.0,-4.174746036529541,8501,-4.103003978729248,157.7844696044922,8500,0.00410300400108099
-4.265544891357422,407.4571228027344,26498944,0.0,-4.261377334594727,9001,-4.167621612548828,168.07080078125,9000,0.004167621955275536
-4.352734088897705,415.0749816894531,27970944,0.0,-4.348474025726318,9501,-4.260044574737549,184.7071533203125,9500,0.0042600445449352264
-4.4312849044799805,421.94677734375,29442944,0.0,-4.426947593688965,10001,-4.337093353271484,199.4891357421875,10000,0.004337093327194452
-4.498774528503418,428.1313781738281,30914944,0.0,-4.494405746459961,10501,-4.368766784667969,206.0474090576172,10500,0.004368767142295837
-4.575706958770752,434.38885498046875,32386944,0.0,-4.571199893951416,11001,-4.507297515869141,236.43234252929688,11000,0.004507297649979591
-4.63656759262085,440.03326416015625,33858944,0.0,-4.632023811340332,11501,-4.543907642364502,245.36122131347656,11500,0.004543907940387726
-4.694282054901123,445.5977783203125,35330944,0.0,-4.689699649810791,12001,-4.582306861877441,255.09141540527344,12000,0.004582307301461697
-4.735132694244385,450.9114685058594,36802944,0.0,-4.730553150177002,12501,-4.5797271728515625,252.61810302734375,12500,0.004579727537930012
-4.810091972351074,456.8298034667969,38274944,0.0,-4.805371284484863,13001,-4.720734596252441,292.9751892089844,13000,0.004720734898000956
-4.856445789337158,462.0343322753906,39746944,0.0,-4.851703643798828,13501,-4.742298603057861,299.5166015625,13500,0.004742298740893602
-4.895120143890381,467.0323181152344,41218944,0.0,-4.89038610458374,14001,-4.734176158905029,297.3573303222656,14000,0.0047341762110590935
-4.954123020172119,472.6717224121094,42690944,0.0,-4.94926643371582,14501,-4.856575012207031,335.79608154296875,14500,0.004856575280427933
-4.983852386474609,477.3332214355469,44162944,0.0,-4.979028224945068,15001,-4.824175834655762,325.4131164550781,15000,0.004824175965040922
-5.034970760345459,482.783447265625,45634944,0.0,-5.0300469398498535,15501,-4.92363977432251,359.2358703613281,15500,0.004923639819025993
-5.071717739105225,487.8655700683594,47106944,0.0,-5.066776752471924,16001,-4.940891265869141,365.63299560546875,16000,0.0049408916383981705
-5.103672981262207,492.8529968261719,48578944,0.0,-5.098731517791748,16501,-4.941443920135498,366.0377502441406,16500,0.004941444378346205
-4.166135787963867,497.98797607421875,50050944,0.0,-4.161163330078125,17001,-4.972687244415283,145.39471435546875,17000,0.00497268745675683
-5.180858612060547,502.97564697265625,51522944,0.0,-5.17582368850708,17501,-5.034880638122559,401.7964782714844,17500,0.0050348807126283646
-5.209262847900391,507.6806335449219,52994944,0.0,-5.204230785369873,18001,-5.032104015350342,400.86248779296875,18000,0.005032104440033436
-5.23708438873291,512.3665771484375,54466944,0.0,-5.232052803039551,18501,-5.031611442565918,400.73516845703125,18500,0.005031611770391464
-5.285747528076172,517.5602416992188,55938944,0.0,-5.280590534210205,19001,-5.157055854797363,452.7630310058594,19000,0.005157056264579296
-5.313611030578613,522.0703125,57410944,0.0,-5.308460235595703,19501,-5.150576591491699,450.9857482910156,19500,0.005150577053427696
-5.337892532348633,526.662353515625,58882944,0.0,-5.332752704620361,20001,-5.139934539794922,446.3334655761719,20000,0.005139934830367565
-5.381920337677002,531.58544921875,60354944,0.0,-5.376682758331299,20501,-5.237453937530518,491.38360595703125,20500,0.005237454082816839
-5.401483058929443,535.6162719726562,61826944,0.0,-5.3962721824646,21001,-5.21102237701416,478.8301696777344,21000,0.005211022682487965
-5.439972400665283,540.081298828125,63298944,0.0,-5.4346795082092285,21501,-5.292712211608887,518.1785278320312,21500,0.005292712245136499
-5.462828159332275,543.8648681640625,64770944,0.0,-5.457546710968018,22001,-5.281390190124512,513.2254638671875,22000,0.005281390622258186
-5.46381139755249,547.4346313476562,66242944,0.0,-5.458572864532471,22501,-5.2384772300720215,486.5645446777344,22500,0.005238477606326342
